Finish Position,Race #,Athlete Name,Total Illegal Time,YOYOs,Favourite Race Wheel #,Favourite Wheel Athlete,Favourite Wheel Illegal Time,Single Longest Illegal Follow #,Single Longest Illegal Follow Athlete,Single Longest Illegal Follow Time,Single Longest Illegal Follow Time of Day (am),Overtakes,Slot Ins,Sexe
1,1,Sam Laidlow,00:00,0,,,,,,,,4,0,M
2,15,Jonas Schomburg,00:00,0,,,,,,,,,0,M
3,4,Jan Stratmann,00:04,3,6,Daniel Baekkegard,00:04,6,Daniel Baekkegard,00:04,07:19:46,24,0,M
4,5,Vincent Luis,09:35,40,7,Henri Schoeman,06:12,7,Henri Schoeman,01:27,09:22:27,21,0,M
5,3,Frederic Funk,01:10,7,4,Jan Stratmann,00:30,4,Jan Stratmann,00:30,11:18:00,24,0,M
7,6,Daniel Baekkegard,01:45,14,4,Jan Stratmann,00:52,4,Jan Stratmann,00:33,09:34:58,19,0,M
8,24,Mathias Petersen,00:22,9,40,Martin Ulloa,00:16,40,Martin Ulloa,00:13,09:30:41,14,0,M
9,11,Matthew Hanson,00:12,3,12,Jack Moody,00:08,12,Jack Moody,00:06,08:50:46,28,0,M
10,9,Aaron Royle,04:29,47,18,Finn Grosse-Freese,02:06,6,Daniel Baekkegard,00:54,09:34:54,15,0,M
11,20,Zachary Cooper,01:59,25,8,Bart Aernouts,01:16,8,Bart Aernouts,00:13,09:49:53,63,0,M
12,36,Tristan Olij,13:58,60,50,Jesse Hinrichs,05:10,32,Tomasz Szala,01:44,07:37:45,14,0,M
13,52,Matthieu Bolzer,08:41,67,49,Nicolas Quenette,04:51,49,Nicolas Quenette,00:39,10:42:15,38,0,M
14,16,Joe Skipper,01:18,14,20,Zachary Cooper,00:43,20,Zachary Cooper,00:19,11:24:22,68,0,M
15,56,Sebastian Norberg,02:52,21,53,Stephan Benedikt,01:27,53,Stephan Benedikt,00:23,08:09:02,23,0,M
16,12,Jack Moody,04:49,30,52,Matthieu Bolzer,01:50,52,Matthieu Bolzer,00:49,08:33:12,32,0,M
17,2,Thomas Bishop,05:29,41,18,Finn Grosse-Freese,03:09,18,Finn Grosse-Freese,01:08,09:35:06,16,0,M
18,34,Felix Hentschel,03:11,14,22,Chris Dels,01:51,22,Chris Dels,00:59,07:38:30,30,0,M
19,8,Bart Aernouts,00:20,7,16,Joe Skipper,00:15,16,Joe Skipper,00:07,10:50:04,63,0,M
20,40,Martin Ulloa,03:46,61,24,Mathias Petersen,01:10,51,Willy Hirsch,00:22,10:49:05,17,0,M
21,41,Arne Leiss,04:54,65,7,Henri Schoeman,01:35,7,Henri Schoeman,00:23,07:37:20,11,0,M
22,26,Kieran Storch,01:13,11,8,Bart Aernouts,00:26,29,Jonathan Guisolan,00:15,09:19:47,14,0,M
23,50,Jesse Hinrichs,01:12,44,36,Tristan Olij,01:12,36,Tristan Olij,00:34,09:43:20,8,0,M
24,25,Filipe Azevedo,04:03,56,32,Tomasz Szala,02:11,32,Tomasz Szala,00:25,09:43:23,9,0,M
25,28,Florian Angert,02:12,16,14,Jesper Svensson,01:01,14,Jesper Svensson,00:51,09:35:04,29,0,M
26,35,Nicholas Chase,01:52,20,44,Garrick Loewen,01:44,44,Garrick Loewen,00:25,07:44:27,18,0,M
27,48,Timo Schaffeld,22:25,126,22,Chris Dels,08:35,22,Chris Dels,01:09,09:29:57,20,0,M
29,42,Corentin Chouvelon,02:34,34,68,Amaury Dehez,02:23,68,Amaury Dehez,00:21,10:03:17,10,0,M
31,14,Jesper Svensson,01:31,16,9,Aaron Royle,01:01,9,Aaron Royle,00:42,09:35:01,28,0,M
32,32,Tomasz Szala,02:12,20,50,Jesse Hinrichs,01:05,50,Jesse Hinrichs,00:48,09:43:20,15,0,M
33,59,Christoffer Heick,00:51,24,56,Sebastian Norberg,00:14,53,Stephan Benedikt,00:09,09:23:15,20,0,M
34,23,Jannik Stoll,00:09,1,4,Jan Stratmann,00:09,4,Jan Stratmann,00:09,10:46:15,25,0,M
35,21,Lukas Stengel,02:33,25,52,Matthieu Bolzer,00:52,12,Jack Moody,00:15,08:02:57,21,0,M
37,49,Nicolas Quenette,13:25,110,52,Matthieu Bolzer,07:39,52,Matthieu Bolzer,00:49,09:45:03,28,0,M
38,58,Kevin Portmann,12:19,111,59,Christoffer Heick,09:06,53,Stephan Benedikt,01:07,09:03:43,22,0,M
39,53,Stephan Benedikt,19:17,251,58,Kevin Portmann,10:41,13,Martin Schulz,01:01,09:03:27,34,0,M
40,60,Vincent Grosser,00:52,16,8,Bart Aernouts,00:18,35,Nicholas Chase,00:13,08:58:15,45,1,M
41,47,Toby Nisbet,01:31,24,12,Jack Moody,00:38,49,Nicolas Quenette,00:11,07:44:20,15,0,M
42,46,Ben Akin,01:20,12,48,Timo Schaffeld,00:39,48,Timo Schaffeld,00:31,07:48:38,31,0,M
43,62,Pascal Franken,00:22,5,59,Christoffer Heick,00:11,59,Christoffer Heick,00:11,11:31:18,27,0,M
44,7,Henri Schoeman,11:03,69,51,Willy Hirsch,08:08,51,Willy Hirsch,01:39,09:22:11,17,0,M
45,19,Maurice Clavel,00:31,3,50,Jesse Hinrichs,00:31,50,Jesse Hinrichs,00:22,09:26:39,2,0,M
46,43,Niels Vanhove,07:26,33,35,Nicholas Chase,02:50,35,Nicholas Chase,01:02,09:30:22,27,0,M
47,63,Raphael Junghans,03:09,20,53,Stephan Benedikt,01:12,53,Stephan Benedikt,00:28,08:24:00,10,0,M
48,31,Miguel Mattox,02:41,19,47,Toby Nisbet,01:25,47,Toby Nisbet,00:18,09:43:11,23,0,M
50,13,Martin Schulz,03:20,23,56,Sebastian Norberg,01:11,56,Sebastian Norberg,01:11,09:03:15,13,0,M
51,61,Jordan Bryden,00:24,5,108,Justine Mathieux,00:24,108,Justine Mathieux,00:10,09:20:05,5,0,M
DNF,44,Garrick Loewen,02:04,20,35,Nicholas Chase,01:36,47,Toby Nisbet,00:27,07:44:24,15,0,M
DNF,65,Jules Rau,00:12,3,58,Kevin Portmann,00:12,58,Kevin Portmann,00:07,08:04:19,46,0,M
DNF,17,Lukasz Wojt,03:39,48,3,Frederic Funk,01:42,40,Martin Ulloa,00:22,09:24:47,4,0,M
DNF,67,Matthias Turk,01:14,6,48,Timo Schaffeld,00:39,46,Ben Akin,00:27,07:48:35,10,0,M
DNF,27,Ognjen Stojanovic,00:09,3,40,Martin Ulloa,00:06,40,Martin Ulloa,00:06,07:33:34,5,0,M
2,104,Grace Thek,00:14,4,108,Justine Mathieux,00:12,108,Justine Mathieux,00:06,10:36:06,17,0,W
3,106,Alanis Siffert,00:05,1,101,Laura Philipp,00:05,101,Laura Philipp,00:05,11:24:21,8,0,W
4,102,Nikki Bartlett,01:25,14,108,Justine Mathieux,00:47,108,Justine Mathieux,00:24,10:12:19,32,0,W
5,108,Justine Mathieux,09:19,84,102,Nikki Bartlett,05:33,102,Nikki Bartlett,00:39,11:25:25,25,0,W
7,111,Nina Derron,01:12,17,108,Justine Mathieux,00:42,108,Justine Mathieux,00:17,10:40:52,44,0,W
9,118,Laura Kessler,00:21,6,126,Angela Naeth,00:21,126,Angela Naeth,00:11,09:55:06,6,0,W
10,117,Lisa-Maria Dornauer,05:36,61,112,Jana Uderstadt,03:36,112,Jana Uderstadt,00:28,10:53:08,11,0,W
13,126,Angela Naeth,00:44,6,105,Laura Siddall,00:24,105,Laura Siddall,00:15,08:09:01,8,0,W
14,125,Emely Ravn,00:05,5,126,Angela Naeth,00:05,126,Angela Naeth,00:04,11:25:26,5,0,W
15,105,Laura Siddall,00:06,2,115,Stephanie Wunderle,00:06,115,Stephanie Wunderle,00:06,08:01:37,3,0,W
16,123,Kayla Pokorny,00:36,3,113,Katharina Wolff,00:18,113,Katharina Wolff,00:18,08:00:12,0,0,W
DNF,122,Dieuwertje Bax,00:31,0,115,Stephanie Wunderle,00:31,115,Stephanie Wunderle,00:31,07:48:01,0,0,W
DNF,112,Jana Uderstadt,00:58,15,102,Nikki Bartlett,00:19,111,Nina Derron,00:14,07:50:53,17,0,W
